user,game,genre,hundreds,thousands,millions,followers,following
whippy,'Grand Theft Auto V',action-,False,False,False,5832,257
satisfiedpear,'Road to Ballhalla',tinybuild,False,False,False,171,101
the_dapper_chap,'',,False,False,False,175,169
mrtherm,'',,False,False,False,545,56
bearded_hoss,'',,False,False,False,546,162
nepalski,'',,False,False,False,5036,20
cryogenicide,'Doki Doki Literature Club',visual novel,False,False,False,132,248
exedeez,'Madden NFL 16',sports,False,False,False,26,274
cordeiiro,'',,False,False,False,819,28
deadlyoptics,'They Are Billions',strategy,False,False,False,15171,34
techbonus,'',,False,False,False,179,164
xenoblur,'',,False,False,False,1486,13
pokeash,'',,False,False,False,610,91
jao_fps,'',,False,False,False,430,71
elou00,'',,False,False,False,11,0
d1ngodota,'',,False,False,False,211,135
cavern,'Counter-Strike: Global Offensive',first-person shooter,False,False,False,2417,65
catypo,'Minecraft',survival,False,False,False,19136,50
capcombrasil,'',,False,False,False,2336,1
crank,'StarCraft II: Heart of the Swarm',real-time,False,False,False,28910,3
tormentrl,'Rocket League',sports,False,False,False,44284,157
cabertran,'',,False,False,False,25473,360
capntrav2015,'',,False,False,False,39,8
shonzo,'VRChat',online,False,False,False,18008,103
thejayleeshow,'',,False,False,False,2158,247
sly,'Counter-Strike: Global Offensive',battle royale,False,False,False,10889,184
savory_nugget,'Kingdom Hearts HD I.5 + II.5 Remix',,False,False,False,854,346
noffzin,'Fortnite',survival,False,False,False,36,23
mrsjuxtaro,'',,False,False,False,107,124
vanderforge,'',,False,False,False,23548,892
rinyhwany,"""PLAYERUNKNOWN'S BATTLEGROUNDS""",battle royale,False,False,False,319,20
jonesarcade,'',,False,False,False,8047,14
klasynky,'',,False,False,False,18617,20
kutiekitten,'League of Legends',multiplayer  battle arena,False,False,False,18975,178
wierunja,'',,False,False,False,5452,61
aspect4real,'',,False,False,False,176,11
havedna,'',,False,False,False,260,67
itachiguy,'',,False,False,False,10,30
progradetf2,'',,False,False,False,387,64
bassj_,'Counter-Strike: Global Offensive',first-person shooter,False,False,False,2506,29
rickyd1212,'',,False,False,False,2133,16
itsbambicue,'',,False,False,False,18002,12
dragonator1,'',,False,False,False,37,40
lettucebishhxx,'',,False,False,False,344,349
wneqq,'',,False,False,False,11015,216
fakedeadlive,'',,False,False,False,1473,0
zuod,'',,False,False,False,91,131
jeanchristophe333,'',,False,False,False,93,47
hotesthead,'',,False,False,False,6,2
shadixx3,'',,False,False,False,30,4
erouce,'Fortnite',survival,False,False,False,7208,128
lordbs,'League of Legends',multiplayer  battle arena,False,False,False,24292,151
eternitysemporium,'Creative',team17,False,False,False,2522,225
sumiyadota,'',,False,False,False,13997,85
qufwkdal,'VRChat',multiplayer,False,False,False,1670,51
leonzai,'',,False,False,False,3891,72
conflict_serum,'',,False,False,False,696,57
konitv,"""Tom Clancy's Rainbow Six: Siege""",tactical shooter,False,False,False,35,39
madistaer,'',,False,False,False,10,24
oregonduckop21,'',,False,False,False,3,7
caroline9071,'IRL',performing arts,False,False,False,55227,76
sonomoenia,'',,False,False,False,69,5
k9jamestv,'Destiny 2',first-person shooter,False,False,False,5806,336
cotydankh,'',,False,False,False,8123,1236
bonusprimo,'Hearthstone: Heroes of Warcraft',collectible,False,False,False,6737,299
skadoodle,'Call of Duty: Black Ops 4',first-person shooter,False,False,False,215252,46
kimdoe,'',,False,False,False,236759,0
rutgerskev,'iRacing.com',graphic interactive movie,False,False,False,2131,34
p0sitivitybot,'',,False,False,False,7935,1
beefydeluxe,'.hack//MUTATION - Part 2',action-,False,False,False,109,361
chrisramsay52,'Overwatch',characters of overwatch,False,False,False,19272,17
esl_csgo_pl,'Counter-Strike: Global Offensive',first-person shooter,False,False,False,261808,9
marvellous_li,'Bloodborne',action role-playing,False,False,False,14708,39
michaeldenicola,'',,False,False,False,3288,449
mg_jotto,'Hearthstone: Heroes of Warcraft',collectible,False,False,False,941,42
therealsadistik,'',,False,False,False,79,107
tomheijnen,'',,False,False,False,5265,29
qupedota,'',,False,False,False,9356,37
binmonkey_,'Music & Performing Arts',performing arts,False,False,False,20,39
tundraez,'',,False,False,False,252,180
jaxerie,'World of Warcraft: Mists of Pandaria',mmorpg,False,False,False,36592,358
mreverplayer,'',,False,False,False,9,54
jlanee,'Fortnite',survival,False,False,False,1880,150
danielle_denicola,'',,False,False,False,6674,150
esquared_studies,'',,False,False,False,601,39
finolawren,'',,False,False,False,716,350
illegaltv,'',,False,False,False,1259,4
itznikosuave,'',,False,False,False,50,14
iniztv,'',,False,False,False,111,61
idolmariya,'',multiplayer  battle arena,False,False,False,88853,51
hashtagjj,'Ark: Survival Of The Fittest',adventure,False,False,False,591,116
stephensonlance,'',,False,False,False,10311,5
goodoldgamer,'',,False,False,False,20,146
callofasian,'League of Legends',multiplayer  battle arena,False,False,False,12,18
shifffy,'',,False,False,False,27,121
billratchet,'',,False,False,False,3585,84
globaldadepre,'',,False,False,False,746,74
cabasaba,'',,False,False,False,312,98
octoh8,'Fortnite',survival,False,False,False,170,122
camiyami,'APB Reloaded',action-,False,False,False,1302,171
dlrkdgns3204,'',,False,False,False,41,70
soarenvyy,'',,False,False,False,1339,121
impost0r,'MU Legend',battle royale,False,False,False,702,115
holley,'Call of Duty: Modern Warfare Remastered',first-person shooter,False,False,False,839,24
v3rlox,'',,False,False,False,99,35
lok_bhilton,'',,False,False,False,2074,221
firezdragon,'Dark Souls 2',action role-playing,False,False,False,2919,14
justshamie,'',,False,False,False,858,70
addicted_tv,'Dota 2',online,False,False,False,1174,125
elizabeth_milk_mommy,'',,False,False,False,74,15
borkman6,'',,False,False,False,65,190
3looy11,'',,False,False,False,1131,334
ebulicious,'',,False,False,False,4780,126
rekm_bloodbath,'',,False,False,False,15,44
kotish88,'',,False,False,False,2012,15
nickdaboom,'League of Legends',online,False,False,False,21998,171
noobdiedoob,'IRL',,False,False,False,177,321
cognaclol,'League of Legends',multiplayer  battle arena,False,False,False,31154,70
gde_moi_tabletki,'League of Legends',online,False,False,False,9784,4
mrcreeep,'Creative',,False,False,False,8679,1246
enerqiaofficial,'',,False,False,False,17063,30
bluntbunny,'The Legend of Zelda: A Link to the Past',action-,False,False,False,5527,347
setmyx,'World of Warcraft: Warlords of Draenor',multiplayer,False,False,False,3988,319
olroy1234,'',,False,False,False,141,34
hyperbowl2a,'',,False,False,False,57,4
joehills,'Minecraft',sandbox,False,False,False,6081,153
wujuzz,'Fortnite',survival,False,False,False,53,11
mruxa,'',,False,False,False,1449,36
realvivien,'',,False,False,False,21209,114
smurfdomuca,'',,False,False,False,3274,159
pxlmac,'',,False,False,False,14,61
fearrrrrrr,'',,False,False,False,827,25
will_mj,'Fallout: New Vegas',action role-playing,False,False,False,241,94
gnot_gnap,'In the Groove 2',,False,False,False,66,144
misfitsoflordaeron,'',,False,False,False,15,0
ondingen,'',,False,False,False,1152,33
